;id;city;match_date;season;match_number;team1;team2;venue;toss_winner;toss_decision;superover;winning_team;won_by;margin;method;player_of_match;umpire1;umpire2
236;1178393;Chennai;2019-04-06;2019;18;Chennai Super Kings;Kings XI Punjab;MA Chidambaram Stadium;Chennai Super Kings;bat;N;Chennai Super Kings;Runs;22.0;;Harbhajan Singh;KN Ananthapadmanabhan;RJ Tucker
446;829797;Chennai;2015-05-10;2015;47;Chennai Super Kings;Rajasthan Royals;MA Chidambaram Stadium- Chepauk;Chennai Super Kings;bat;N;Chennai Super Kings;Runs;12.0;;RA Jadeja;M Erasmus;CK Nandan
456;829779;Chennai;2015-05-04;2015;37;Chennai Super Kings;Royal Challengers Bangalore;MA Chidambaram Stadium- Chepauk;Chennai Super Kings;bat;N;Chennai Super Kings;Runs;24.0;;SK Raina;C Shamshuddin;K Srinath
468;829753;Chennai;2015-04-25;2015;24;Chennai Super Kings;Kings XI Punjab;MA Chidambaram Stadium- Chepauk;Chennai Super Kings;bat;N;Chennai Super Kings;Runs;97.0;;BB McCullum;JD Cloete;C Shamshuddin
488;829711;Chennai;2015-04-11;2015;4;Chennai Super Kings;Sunrisers Hyderabad;MA Chidambaram Stadium- Chepauk;Chennai Super Kings;bat;N;Chennai Super Kings;Runs;45.0;;BB McCullum;RK Illingworth;VA Kulkarni
564;598062;Chennai;2013-05-14;2013;64;Chennai Super Kings;Delhi Daredevils;MA Chidambaram Stadium- Chepauk;Chennai Super Kings;bat;N;Chennai Super Kings;Runs;33.0;;MS Dhoni;C Shamshuddin;RJ Tucker
583;598041;Chennai;2013-05-02;2013;45;Chennai Super Kings;Kings XI Punjab;MA Chidambaram Stadium- Chepauk;Chennai Super Kings;bat;N;Chennai Super Kings;Runs;15.0;;SK Raina;M Erasmus;VA Kulkarni
594;598030;Chennai;2013-04-25;2013;34;Chennai Super Kings;Sunrisers Hyderabad;MA Chidambaram Stadium- Chepauk;Sunrisers Hyderabad;bat;N;Chennai Super Kings;Wickets;5.0;;MS Dhoni;Aleem Dar;S Das
598;598026;Chennai;2013-04-22;2013;30;Chennai Super Kings;Rajasthan Royals;MA Chidambaram Stadium- Chepauk;Rajasthan Royals;bat;N;Chennai Super Kings;Wickets;5.0;;MEK Hussey;S Asnani;AK Chaudhary
658;548352;Chennai;2012-05-04;2012;46;Chennai Super Kings;Deccan Chargers;MA Chidambaram Stadium- Chepauk;Chennai Super Kings;bat;N;Chennai Super Kings;Runs;10.0;;SK Raina;HDPK Dharmasena;BNJ Oxenford
676;548332;Chennai;2012-04-21;2012;26;Chennai Super Kings;Rajasthan Royals;MA Chidambaram Stadium- Chepauk;Rajasthan Royals;bat;N;Chennai Super Kings;Wickets;7.0;;F du Plessis;Aleem Dar;BNJ Oxenford
689;548318;Chennai;2012-04-12;2012;13;Chennai Super Kings;Royal Challengers Bangalore;MA Chidambaram Stadium- Chepauk;Royal Challengers Bangalore;bat;N;Chennai Super Kings;Wickets;5.0;;F du Plessis;HDPK Dharmasena;RJ Tucker
702;501271;Chennai;2011-05-28;2011;Final;Chennai Super Kings;Royal Challengers Bangalore;MA Chidambaram Stadium- Chepauk;Chennai Super Kings;bat;N;Chennai Super Kings;Runs;58.0;;M Vijay;Asad Rauf;SJA Taufel
712;501261;Chennai;2011-05-18;2011;64;Chennai Super Kings;Kochi Tuskers Kerala;MA Chidambaram Stadium- Chepauk;Chennai Super Kings;bat;N;Chennai Super Kings;Runs;11.0;;WP Saha;HDPK Dharmasena;RE Koertzen
720;501253;Chennai;2011-05-12;2011;56;Chennai Super Kings;Delhi Daredevils;MA Chidambaram Stadium- Chepauk;Chennai Super Kings;bat;N;Chennai Super Kings;Runs;18.0;;MS Dhoni;AM Saheba;SL Shastri
733;501240;Chennai;2011-05-04;2011;43;Chennai Super Kings;Rajasthan Royals;MA Chidambaram Stadium- Chepauk;Rajasthan Royals;bat;N;Chennai Super Kings;Wickets;8.0;;MEK Hussey;SS Hazare;RB Tiffin
738;501236;Chennai;2011-05-01;2011;39;Chennai Super Kings;Deccan Chargers;MA Chidambaram Stadium- Chepauk;Chennai Super Kings;bat;N;Chennai Super Kings;Runs;19.0;;JA Morkel;Aleem Dar;RB Tiffin
761;501211;Chennai;2011-04-16;2011;14;Chennai Super Kings;Royal Challengers Bangalore;MA Chidambaram Stadium- Chepauk;Chennai Super Kings;bat;N;Chennai Super Kings;Runs;21.0;;MEK Hussey;HDPK Dharmasena;AL Hill
774;501198;Chennai;2011-04-08;2011;1;Chennai Super Kings;Kolkata Knight Riders;MA Chidambaram Stadium- Chepauk;Chennai Super Kings;bat;N;Chennai Super Kings;Runs;2.0;;S Anirudha;BR Doctrove;PR Reiffel
787;419153;Chennai;2010-04-13;2009/10;48;Chennai Super Kings;Kolkata Knight Riders;MA Chidambaram Stadium- Chepauk;Kolkata Knight Riders;bat;N;Chennai Super Kings;Wickets;9.0;;R Ashwin;SS Hazare;SJA Taufel
798;419142;Chennai;2010-04-06;2009/10;37;Chennai Super Kings;Mumbai Indians;MA Chidambaram Stadium- Chepauk;Chennai Super Kings;bat;N;Chennai Super Kings;Runs;24.0;;SK Raina;S Asnani;DJ Harper
803;419137;Chennai;2010-04-03;2009/10;32;Chennai Super Kings;Rajasthan Royals;MA Chidambaram Stadium- Chepauk;Chennai Super Kings;bat;N;Chennai Super Kings;Runs;23.0;;M Vijay;RE Koertzen;RB Tiffin
807;419133;Chennai;2010-03-31;2009/10;28;Chennai Super Kings;Royal Challengers Bangalore;MA Chidambaram Stadium- Chepauk;Royal Challengers Bangalore;bat;N;Chennai Super Kings;Wickets;5.0;;M Vijay;BG Jerling;RE Koertzen
938;335993;Chennai;2008-04-26;2007/08;11;Chennai Super Kings;Kolkata Knight Riders;MA Chidambaram Stadium- Chepauk;Kolkata Knight Riders;bat;N;Chennai Super Kings;Wickets;9.0;;JDP Oram;BF Bowden;AV Jayaprakash
